No.,Drug  Name,Active Ingredient,Approval Date,FDA-approved use on approval date*
59.0,Ultomiris,ravulizumab,12/21/2018,To treat paroxysmal nocturnal hemoglobinuria (PNH)  Press ReleaseDrug Trials Snapshot
58.0,Elzonris,tagraxofusp-erzs,12/21/2018,To treat blastic plasmacytoid dendritic cell neoplasm (BPDCN)Press ReleaseDrug Trials Snapshot
57.0,Asparlas,calaspargase pegol-mknl,12/20/2018,To treat acute lymphoblastic leukemia (ALL) in pediatric and young adult patients age 1 month to 21 yearsDrug Trials Snapshot
56.0,Motegrity,prucalopride,12/14/2018,To treat chronic idiopathic constipationDrug Trials Snapshot
55.0,Xospata,gilteritinib,11/28/2018,To treat patients who have relapsed or refractory acute myeloid leukemia (AML)Press ReleaseDrug Trials Snapshot
54.0,Firdapse,amifampridine,11/28/2028,To treat Lambert-Eaton myasthenic syndrome (LEMS) in adultsPress ReleaseDrug Trials Snapshot
53.0,Vitrakvi,larotrectinib,11/26/2018,To treat patients whose cancers have a specific genetic feature (biomarker)Press ReleaseDrug Trials Snapshot
52.0,Daurismo,glasdegib,11/21/2018,To treat newly-diagnosed acute myeloid leukemia (AML) in adult patientsPress Release Drug Trials Snapshot
51.0,Gamifant,emapalumab-lzsgemapalumab-lzsg,11/20/2018,To treat primary hemophagocytic lymphohistiocytosis (HLH)Press ReleaseDrug Trials Snapshot
50.0,Aemcolo,rifamycin,11/16/2018,To treat travelers’ diarrheaPress ReleaseDrug Trials Snapshot
49.0,Yupelri,revefenacin,11/9/2018,To treat patients with chronic obstructive pulmonary disease (COPD)Drug Trials Snapshot
48.0,Lorbrena,lorlatinib,11/2/2018,To treat patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancerDrug Trials Snapshot
47.0,Xofluza,baloxavir marboxil,10/24/2018,To treat acute uncomplicated influenza in patients who have been symptomatic for no more than 48 hours.Press ReleaseDrug Trials Snapshot
46.0,Talzenna,talazoparib,10/16/2018,To treat locally advanced or metastatic breast cancer patients with a germline BRCA mutation.Drug Trials Snapshot
45.0,Tegsedi,inotersen,10/5/2018,To treat polyneuropathy of hereditary transthyretin-mediated amyloidosis in adultsDrug Trials Snapshot
44.0,Revcovi,elapegademase-lvlr,10/5/2018,To treat Adenosine Deaminase-Severe Combined Immunodeficiency (ADA-SCID)Drug Trials Snapshot
43.0,Nuzyra,omadacycline,10/2/2018,To treat community-acquired bacterial pneumonia and acute bacterial skin and skin structure infectionsDrug Trials Snapshot for community-acquired bacterial pneumonia
42.0,Seysara,sarecycline,10/1/2018,To treat inflammatory lesions of non-nodular moderate to severe acne vulgaris in patients 9 years of age and olderDrug Trials Snapshot
41.0,Libtayo,cemiplimab-rwlc,9/28/2018,To treat cutaneous squamous cell carcinoma (CSCC)Drug Trial Snapshot
40.0,Vizimpro,dacomitinib,9/27/2018,To treat metastatic non-small-cell lung cancerDrug Trials Snapshot
39.0,Emgality,galcanezumab-gnlm,9/27/2018,For the preventive treatment of migraine in adultsDrug Trials Snapshot
38.0,Copiktra,duvelisib,9/24/2018,"To treat relapsed or refractory chronic lymphocytic leukemia, small lymphocytic lymphoma and follicular lymphomaDrug Trials Snapshot"
37.0,Ajovy,fremanezumab-vfrm,9/14/2018,For the preventive treatment of migraine in adultsDrug Trials Snapshot
36.0,Lumoxiti,moxetumomab pasudotox-tdfk,9/13/2018,To treat hairy cell leukemiaPress ReleaseDrug Trials Snapshot
35.0,Pifeltro,doravirine,8/30/2018,To treat HIV-1 infection in adult patientsDrug Trials Snapshot
34.0,Xerava,eravacycline,8/27/2018,To treat complicated intra-abdominal infections in patients 18 years of age and olderDrug Trials Snapshot
33.0,Takhzyro,lanadelumab,8/23/2018,To treat types I and II hereditary angioedemaDrug Trials Snapshot
32.0,Oxervate,cenegermin-bkbj,8/22/2018,To treat neurotrophic keratitisPress ReleaseDrug Trials Snapshot
31.0,Diacomit,stiripentol,8/20/2018,To treat seizures associated with Dravet syndrome in patients 2 years of age and older taking clobazamDrug Trials Snapshot
30.0,Galafold,migalastat,8/10/2018,To treat treat adults with Fabry disease.Press ReleaseDrug Trials Snapshot
29.0,Annovera,segesterone acetate and ethinyl estradiol vaginal system,8/10/2018,New vaginal ring used to prevent pregnancy for an entire yearPress ReleaseDrug Trials Snapshot
28.0,Onpattro,patisiran,8/10/2018,To treat the polyneuropathy of hereditary transthyretin-mediated amyloidosis in adult patientsPress ReleaseDrug Trials Snapshot
27.0,Poteligeo,mogamulizumab-kpkc,8/8/2018,To treat two rare types of non-Hodgkin lymphomaPress ReleaseDrug Trials Snapshot
26.0,Mulpleta,lusutrombopag,7/31/2018,To treat thrombocytopenia in adult patients with chronic liver disease who are scheduled to undergo a procedureDrug Trials Snapshot
25.0,Omegaven,fish oil triglycerides,7/27/2018,As a source of calories and fatty acids in pediatric patients with parenteral nutrition-associated cholestasisDrug Trials Snapshot
24.0,Orilissa,elagolix sodium,7/23/2018,For the management of moderate to severe pain associated with endometriosisDrug Trials Snapshot
23.0,Krintafel,tafenoquine,7/20/2018,For the radical cure (prevention of relapse) of Plasmodium vivax malariaDrug Trials Snapshot
22.0,Tibsovo,ivosidenib,7/20/2018,To treat patients with relapsed or refractory acute myeloid leukemiaPress ReleaseDrug Trials Snapshot
21.0,TPOXX,tecovirimat,7/13/2018,To treat smallpoxPress ReleaseDrug Trials Snapshot
20.0,Braftovi,encorafenib,6/27/2018,To treat unresectable or metastatic melanomaDrug Trials Snapshot
19.0,Mektovi,binimetinib,6/27/2018,To treat unresectable or metastatic melanomaDrug Trials Snapshot
18.0,Zemdri,plazomicin,6/25/2018,To treat adults with complicated urinary tract infectionsDrug Trials Snapshot
17.0,Epidioloex,cannabidiol,6/25/2018,"To treat rare, severe forms of epilepsyPress ReleaseDrug Trials Snapshot"
16.0,Moxidectin,moxidectin,6/13/2018,To treat onchocerciasis due to Onchocerca volvulus in patients aged 12 years and olderDrug Trials Snapshot
15.0,Olumiant,baricitinib,5/31/2018,To treat moderately to severely active rheumatoid arthritisDrug Trials Snapshot
14.0,Palynziq,pegvaliase-pqpz,5/24/2018,To treat adults with a rare and serious genetic disease known as phenylketonuria (PKU)Press ReleaseDrug Trials Snapshot
13.0,Doptelet,avatrombopag,5/21/2018,To treat low blood platelet count (thrombocytopenia) in adults with chronic liver disease who are scheduled to undergo a medical or dental procedurePress ReleaseDrug Trials Snapshot
12.0,Lokelma,sodium zirconium cyclosilicate,5/18/2018,To treat hyperkalemiaDrug Trials Snapshot
11.0,Aimovig,erenumab-aooe,5/17/2018,For the preventive treatment for migrainePress ReleaseDrug Trials Snapshot
10.0,Lucemyra,lofexidine hydrochloride,5/16/2018,For the non-opioid treatment for management of opioid withdrawal symptoms in adultsPress ReleaseDrug Trials Snapshot
9.0,Akynzeo,fosnetupitant and palonosetron,4/19/2018,To prevent acute and delayed nausea and vomiting associated with initial and repeat courses of highly emetogenic cancer chemotherapyDrug Trials Snapshot
8.0,Crysvita,burosumab-twza,4/17/2018,"To treat adults and children ages 1 year and older with x-linked hypophosphatemia (XLH), a rare, inherited form of ricketsPress ReleaseDrug Trials Snapshot"
7.0,Tavalisse,fostamatinib,4/17/2018,To treat thrombocytopenia in adult patients with persistent or chronic immune thrombocytopenia (ITP)Drug Trials Snapshot
6.0,Ilumya,tildrakizumab,3/20/2018,To treat adults with moderate-to-severe plaque psoriasis who are candidates for systemic therapy or phototherapyDrug Trials Snapshot
5.0,Trogarzo,ibalizumab-uiyk,3/6/2018,To treat HIV patients who have limited treatment optionsPress ReleaseDrug Trials Snapshot
4.0,Erleada,apalutamide,2/14/2018,To treat a certain type of prostate cancer using novel clinical trial endpointPress ReleaseDrug Trials Snapshot
3.0,Symdeko,tezacaftor; ivacaftor,2/12/2018,To treat cystic fibrosis in patients age 12 years and olderDrug Trials Snapshot
2.0,Biktarvy,"bictegravir, embitcitabine, tenofovir alafenamide",2/7/2018,To treat infection in adults who have no antiretroviral treatment history or to replace the current antiretroviral regimenDrug Trials Snapshot
1.0,Lutathera,lutetium Lu 177 dotatate,1/26/2018,To treat a type of cancer that affects the pancreas or gastrointestinal tract called gastroenteropancreatic neuroendocrine tumors (GEP-NETs).Press ReleaseDrug Trials Snapshot
