No.,Drug Name,Active Ingredient,Approval Date,FDA-approved use on approval date*
48.0,Ubrelvy,ubrogepant,12/23/2019,to treat acute treatment of migraine with or without aura in adultsPress ReleaseDrug Trials Snapshot
47.0,Enhertu,fam-trastuzumab deruxtecan-nxki,12/20/2019,To treat metastatic breast cancerPress ReleaseDrug Trials Snapshot
46.0,Dayvigo,lemborexant,12/20/2019,To treat insomniaDrug Trials Snapshot
45.0,Caplyta,lumateperone tosylate,12/20/2019,To treat schizophreniaDrug Trials Snapshot
44.0,TissueBlue,Brilliant Blue G Ophthalmic Solution,12/20/2019,Dye used in eye surgeryDrug Trials Snapshot
43.0,Padcev,enfortumab vedotin-ejfv,12/18/2019,To treat refractory bladder cancerPress ReleaseDrug Trials Snapshot
42.0,Vyondys 53,golodirsen,12/12/2019,To treat certain patients with Duchenne muscular dystrophyPress ReleaseDrug Trials Snapshot
41.0,Oxbryta,voxelotor,11/25/2019,To treat sickle cell diseasePress ReleaseDrug Trials Snapshot
40.0,Xcopri,cenobamate,11/21/2019,To treat partial onset seizuresPress ReleaseDrug Trials Snapshot
39.0,Givlaari,givosiran,11/20/2019,"To treat acute hepatic porphyria, a rare blood disorderPress ReleaseDrug Trials Snapshot"
38.0,Adakveo,crizanlizumab-tmca,11/15/2019,To treat patients with painful complication of sickle cell diseasePress ReleaseDrug Trials Snapshot
37.0,Fetroja,cefiderocol,11/14/2019,To treat patients with complicated urinary tract infections who have limited or no alternative treatment optionsPress ReleaseDrug Trials Snapshot
36.0,Brukinsa,zanubrutinib,11/14/2019,"To treat certain patients with mantle cell lymphoma, a form of blood cancerPress ReleaseDrug Trials Snapshot"
35.0,Reblozyl,luspatercept–aamt,11/8/2019,For the treatment of anemia in adult patients with beta thalassemia who require regular red blood cell transfusionsPress ReleaseDrug Trials Snapshot
34.0,ExEm Foam,air polymer-type A,11/7/2019,A diagnostic agent used to assess fallopian tube patency (openness) in women with known or suspected infertilityDrug Trials Snapshot
33.0,Trikafta,elexacaftor/ivacaftor/tezacaftor,10/21/2019,To treat patients 12 years of age and older with the most common gene mutation that causes cystic fibrosisPress ReleaseDrug Trials Snapshot
32.0,Reyvow,lasmiditan,10/11/2019,"For the acute treatment of migraine with or without aura, in adultsPress ReleaseDrug Trials Snapshots"
31.0,,fluorodopa F 18,10/10/2019,A diagnostic agent for use in positron emission tomography (PET) to help diagnose adult patients with suspected Parkinsonian syndromes (PS)Drug Trials Snapshot
30.0,Scenesse,afamelanotide,10/8/2019,To increase pain-free light exposure in adult patients with a history of phototoxic reactions (damage to skin) from erythropoietic protoporphyriaPress ReleaseDrug Trials Snapshot
29.0,Beovu,brolucizumab–dbll,10/7/2019,Treatment of wet age-related macular degenerationDrug Trials Snapshot
28.0,Aklief,trifarotene,10/4/2019,For the topical treatment of acne vulgaris in patients 9 years of age and olderDrug Trials Snapshot
27.0,Ibsrela,tenapanor,9/12/2019,To treat irritable bowel syndrome with constipation in adults.Drug Trials Snapshot
26.0,Nourianz,istradefylline,8/27/2019,To treat adult patients with Parkinson’s disease experiencing “off” episodesPress ReleaseDrug Trials Snapshot
25.0,Ga-68-DOTATOC,Ga-68-DOTATOC,8/21/2019,For use with positron emission tomography (PET) for localization of somatostatin receptor positive neuroendocrine tumors (NETs)Drug Trials Snapshot
24.0,Xenleta,lefamulin,8/19/2019,To treat adults with community-acquired bacterial pneumoniaPress ReleaseDrug Trials Snapshot
23.0,Rinvoq,upadacitinib,8/16/2019,To treat adults with moderately to severely active rheumatoid arthritisDrug Trials Snapshot
22.0,Inrebic,fedratinib,8/16/2019,To treat adult patients with intermediate-2 or high-risk primary or secondary myelofibrosisPress ReleaseDrug Trials Snapshot
