No.,Drug  Name,Active Ingredient,Approval Date,FDA-approved use on approval date*
46.0,Giapreza,angiotensin II,12/21/2017,To increase blood pressure in adults with septic or other distributive shockPress ReleaseDrug Trials Snapshot
45.0,Macrilen,macimorelin acetate,12/20/2017,For the diagnosis of adult growth hormone deficiencyDrug Trials Snapshot
44.0,Steglatro,ertugliflozin,12/19/2017,To improve glycemic control in adults with type 2 diabetes mellitusDrug Trials Snapshot
43.0,Rhopressa,netarsudil,12/18/2017,To treat glaucoma or ocular hypertensionDrug Trials Snapshot
42.0,Xepi,ozenoxacin,12/11/2017,To treat impetigoDrug Trials Snapshot
41.0,Ozempic,semaglutide,12/5/2017,To improve glycemic control in adults with type 2 diabetes mellitusDrug Trials Snapshot
40.0,Hemlibra,emicizumab,11/16/2017,To prevent or reduce the frequency of bleeding episodes in adult and pediatric patients with hemophilia A who have developed antibodies called Factor VIII (FVIII) inhibitors.Press ReleaseDrug Trials Snapshot
39.0,Mepsevii,vestronidase alfa-vjbk,11/15/2017,"To treat pediatric and adult patients with an inherited metabolic condition called mucopolysaccharidosis type VII (MPS VII), also known as Sly syndrome.Press ReleaseDrug Trials Snapshot"
38.0,Fasenra,benralizumab,11/14/2017,"For add-on maintenance treatment of patients with severe asthma aged 12 years and older, and with an eosinophilic phenotype Drug Trials Snapshot"
37.0,Prevymis,letermovir,11/8/2017,To prevent infection after bone marrow transplantDrug Trials Snapshot
36.0,Vyzulta,latanoprostene bunod ophthalmic solution,11/2/2017,To treat intraocular pressure in patients with open-angle glaucoma or ocular hypertension.Drug Trials Snapshot
35.0,Calquence,acalabrutinib,10/31/2017,To treat adults with mantle cell lymphomaPress ReleaseDrug Trials Snapshot
34.0,Verzenio,abemaciclib,9/28/2017,To treat certain advanced or metastatic breast cancersPress ReleaseDrug Trials Snapshot
33.0,Solosec,secnidazole,9/15/2017,To treat bacterial vaginosisDrug Trials Snapshot
32.0,Aliqopa,copanlisib,9/14/2017,To treat adults with relapsed follicular lymphomaPress ReleaseDrug Trials Snapshot
31.0,benznidazole,benznidazole,8/29/2017,To treat children ages 2 to 12 years old with Chagas diseasePress ReleaseDrug Trials Snapshot
30.0,Vabomere,meropenem and vaborbactam,8/29/2017,To treat adults with complicated urinary tract infectionsPress ReleaseDrug Trials Snapshot
29.0,Besponsa,inotuzumab ozogamicin,8/17/2017,To treat adults with relapsed or refractory acute lymphoblastic leukemiaPress ReleaseDrug Trials Snapshot
28.0,Mavyret,glecaprevir and pibrentasvir,8/3/2017,To treat adults with chronic hepatitis C virusPress ReleaseDrug Trials Snapshot
27.0,Idhifa,enasidenib,8/1/2017,To treat relapsed or refractory acute myeloid leukemiaPress ReleaseDrug Trials Snapshot
26.0,Vosevi,"sofosbuvir, velpatasvir and voxilaprevir",7/18/2017,To treat adults with chronic hepatitis C virusPress ReleaseDrug Trials Snapshot
25.0,Nerlynx,neratinib maleate,7/17/2017,To reduce the risk of breast cancer returningPress ReleaseDrug Trials Snapshot
24.0,Tremfya,guselkumab,7/13/2017,For the treatment of adult patients with moderate-to-severe plaque psoriasisDrug Trials Snapshot
23.0,Bevyxxa,betrixaban,6/23/2017,For the prophylaxis of venous thromboembolism (VTE) in adult patients hospitalized for an acute medical illnessDrug Trials Snapshot
22.0,Baxdela,delafloxacin,6/19/2017,To treat patients with acute bacterial skin infectionsDrug Trials Snapshot
21.0,Kevzara,sarilumab,5/22/2017,To treat adult rheumatoid arthritisDrug Trials Snapshot
20.0,Radicava,edaravone,5/5/2017,To treat patients with amyotrophic lateral sclerosis (ALS)Press ReleaseDrug Trials Snapshot
19.0,Imfinzi,durvalumab,5/1/2017,To treat patients with locally advanced or metastatic urothelial carcinomaWeb PostDrug Trials Snapshot
18.0,Tymlos,abaloparatide,4/28/2017,To treat osteoporosis in postmenopausal women at high risk of fracture or those who have failed other therapiesDrug Trials Snapshot
17.0,Rydapt,midostaurin,4/28/2017,"To treat acute myeloid leukemia, advanced systemic mastocytosisPress ReleaseDrug Trials Snapshot for advanced systemic mastocytosisDrug Trials Snapshot for acute Myeloid leukemia"
16.0,Alunbrig,brigatinib,4/28/2017,To treat patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to crizotinibDrug Trials Snapshot
15.0,Brineura,cerliponase alfa,4/27/2017,To treat a specific form of Batten diseasePress ReleaseDrug Trials Snapshot
14.0,Ingrezza,valbenazine,4/11/2017,To treat adults with tardive dyskinesia Press Release Drug Trials Snapshot
13.0,Austedo,deutetrabenazine,4/3/2017,For the treatment of chorea associated with Huntington’s disease Drug Trials Snapshot
12.0,Ocrevus,ocrelizumab,3/28/2017,To treat patients with relapsing and primary progressive forms of multiple sclerosisPress ReleaseDrug Trials Snapshot
11.0,Dupixent,dupilumab,3/28/2017,To treat adults with moderate-to-severe eczema (atopic dermatitis)Press ReleaseDrug Trials Snapshot
10.0,Zejula,niraparib,3/27/2017,"For the maintenance treatment for recurrent epithelial ovarian, fallopian tube or primary peritoneal cancersPress ReleaseDrug Trials Snapshot"
9.0,Symproic,naldemedine,3/23/2017,For the treatment of opioid-induced constipationDrug Trials Snapshot
8.0,Bavencio,avelumab,3/23/2017,To treat metastatic Merkel cell carcinomaPress ReleaseDrug Trials Snapshot
7.0,Xadago,safinamide,3/21/2017,To treat Parkinson’s diseasePress ReleaseDrug Trials Snapshot
6.0,Kisqali,ribociclib,3/13/2017,To treat postmenopausal women with a type of advanced breast cancerDrug Trials Snapshot
5.0,Xermelo,telotristat ethyl,2/28/2017,To treat carcinoid syndrome diarrheaPress ReleaseDrug Trials Snapshot
4.0,Siliq,brodalumab,2/15/2017,To treat adults with moderate-to-severe plaque psoriasisPress ReleaseDrug Trials Snapshot
3.0,Emflaza,deflazacort,2/9/2017,To treat patients age 5 years and older with Duchenne muscular dystrophy (DMD)Press ReleaseDrug Trials Snapshot
2.0,Parsabiv,etelcalcetide,2/7/2017,To treat secondary hyperparathyroidism in adult patients with chronic kidney disease undergoing dialysisDrug Trials Snapshot
