No.,Drug Name,Active Ingredient,Approval Date,FDA-approved use on approval date*
51.0,Adbry,tralokinumab-ldrm,12/27/2021,To treat moderate-to-severe atopic dermatitis
50.0,Leqvio,inclisiran,12/22/2021,To treat heterozygous familial hypercholesterolemia or clinical atherosclerotic cardiovascular disease as an add-on therapy
49.0,Vyvgart,efgartigimod alfa-fcab,12/17/2021,To treat generalized myasthenia gravisPress Release
48.0,Tezspire,tezepelumab-ekko,12/17/2021,To treat severe asthma as an add-on maintenance therapy
47.0,Cytalux,pafolacianine,11/29/2021,To help identify ovarian cancer lesions Press Release
46.0,Livtencity,maribavir,11/23/2021,To treat post-transplant cytomegalovirus (CMV) infection/disease that does not respond (with or without genetic mutations that cause resistance) to available antiviral treatment for CMVPress Release
45.0,Voxzogo,vosoritide,11/19/2021,To improve growth in children five years of age and older with achondroplasia and open epiphysesPress Release
44.0,Besremi,ropeginterferon alfa-2b-njft,11/12/2021,"To treat polycythemia vera, a blood disease that causes the overproduction of red blood cellsPress Release"
43.0,Scemblix,asciminib,10/29/2021,To treat Philadelphia chromosome-positive chronic myeloid leukemia with disease that meets certain criteria
42.0,Tavneos,avacopan,10/7/2021,"To treat severe active anti-neutrophil cytoplasmic autoantibody-associated vasculitis (granulomatosis with polyangiitis and microscopic polyangiitis) in combination with standard therapy, including glucocorticoids"
41.0,Livmarli,maralixibat,9/29/2021,To treat cholestatic pruritus associated with Alagille syndrome
40.0,Qulipta,atogepant,9/28/2021,To prevent episodic migraines
39.0,Tivdak,tisotumab vedotin-tftv,9/20/2021,To treat recurrent or metastatic cervical cancer with disease progression on or after chemotherapy
38.0,Exkivity,mobocertinib,9/15/2021,To treat locally advanced or metastatic non-small cell lung cancer with epidermal growth factor receptor exon 20 insertion mutations
37.0,Skytrofa,lonapegsomatropin-tcgd,8/25/2021,To treat short stature due to inadequate secretion of endogenous growth hormone
36.0,Korsuva,difelikefalin,8/23/2021,To treat moderate-to-severe pruritus associated with chronic kidney disease in certain populations
35.0,Welireg,belzutifan,8/13/2021,To treat von Hippel-Lindau disease under certain conditions
34.0,Nexviazyme,avalglucosidase alfa-ngpt,8/6/2021,To treat late-onset Pompe diseasePress Release
33.0,Saphnelo,anifrolumab-fnia,7/30/2021,To treat moderate-to severe systemic lupus erythematousus along with standard therapy
32.0,Bylvay,odevixibat,7/20/2021,To treat pruritus
31.0,Rezurock,belumosudil,7/16/2021,To treat chronic graft-versus-host disease after failure of at least two prior lines of systemic therapy
30.0,fexinidazole,fexinidazole,7/16/2021,To treat human African trypanosomiasis caused by the parasite Trypanosoma brucei gambiense
29.0,Kerendia,finerenone,7/9/2021,To reduce the risk of kidney and heart complications in chronic kidney disease associated with type 2 diabetes
28.0,Rylaze,asparaginase erwinia chrysanthemi (recombinant)-rywn,6/30/2021,"To treat acute lymphoblastic leukemia and lymphoblastic lymphoma in patients who are allergic to E. coli-derived asparaginase products, as a component of a chemotherapy regimenPress Release"
27.0,Aduhelm,aducanumab-avwa,6/7/2021,To treat Alzheimer’s diseasePress Release
26.0,Brexafemme,ibrexafungerp,6/1/2021,To treat vulvovaginal candidiasis
25.0,Lybalvi,olanzapine and samidorphan,5/28/2021,To treat schizophrenia and certain aspects of bipolar I disorder
24.0,Truseltiq,infigratinib,5/28/2021,To treat cholangiocarcinoma whose disease meets certain criteria
23.0,Lumakras,sotorasib,5/28/2021,To treat types of non-small cell lung cancer Press Release
22.0,Pylarify,piflufolastat F 18,5/26/2021,To identify prostate-specific membrane antigen-positive lesions in prostate cancer
21.0,Rybrevant,amivantamab-vmjw,5/21/2021,To treat a subset of non-small cell lung cancerPress Release
20.0,Empaveli,pegcetacoplan,5/14/2021,To treat paroxysmal nocturnal hemoglobinuria
19.0,Azstarys,serdexmethylphenidate and dexmethylphenidate,5/7/2021,To treat attention deficit hyperactivity disorderDrug Trials Snapshots
18.0,Zynlonta,loncastuximab tesirine-lpyl,4/23/2021,To treat certain types of relapsed or refractory large B-cell lymphoma
17.0,Jemperli,dostarlimab-gxly,4/22/2021,To treat endometrial cancerPress Release
16.0,Nextstellis,drospirenone and estetrol,4/15/2021,To prevent pregnancy
15.0,Qelbree,viloxazine,4/2/2021,To treat attention deficit hyperactivity disorderDrug Trials Snapshots
14.0,Zegalogue,dasiglucagon,3/22/2021,To treat severe hypoglycemia
13.0,Ponvory,ponesimod,3/18/2021,To treat relapsing forms of multiple sclerosis
12.0,Fotivda,tivozanib,3/10/2021,To treat renal cell carcinoma
11.0,Azstarys,serdexmethylphenidate and  dexmethylphenidate,3/2/2021,To treat attention deficit hyperactivity disorder
10.0,Pepaxto,melphalan flufenamide,2/26/2021,To treat relapsed or refractory multiple myeloma
9.0,Nulibry,fosdenopterin,2/26/2021,To reduce the risk of mortality in molybdenum cofactor deficiency Type APress ReleaseDrug Trials Snapshots
8.0,Amondys 45,casimersen,2/25/2021,To treat Duchenne muscular dystrophyPress Release
7.0,Cosela,trilacicilib,2/12/2021,To mitigate chemotherapy-induced myelosuppression in small cell lung cancerPress Release
6.0,Evkeeza,evinacumab-dgnb,2/11/2021,To treat homozygous familial hypercholesterolemia
5.0,Ukoniq,umbralisib,2/5/2021,To treat marginal zone lymphoma and follicular lymphoma
4.0,Tepmetko,tepotinib,2/3/2021,To treat non-small cell lung cancer
3.0,Lupkynis,voclosporin,1/22/2021,To treat lupus nephritisDrug Trials Snapshot
2.0,Cabenuva,cabotegravir and rilpivirine (co-packaged),1/21/2021,To treat HIVPress ReleaseDrug Trials Snapshot
1.0,Verquvo,vericiguat,1/19/2021,To mitigate the risk of cardiovascular death and hospitalization for chronic heart failureDrug Trials Snapshot
