No.,Drug Name,Active Ingredient,Approval Date,FDA-approved use on approval date*
1.0,Leqembi,lecanemab-irmb,1/6/2023,To treat Alzheimer’s diseasePress Release
2.0,Brenzavvy,bexagliflozin,1/20/2023,To improve glycemic control in adults with type 2 diabetes mellitus as an adjunct to diet and exercise
3.0,Jaypirca,pirtobrutinib,1/27/2023,"To treat relapsed or refractory mantle cell lymphoma in adults who have had at least two lines of systemic therapy, including a BTK inhibitor"
4.0,Orserdu,elacestrant,1/27/2023,"To treat estrogen receptor-positive, human epidermal growth factor receptor 2-negative, ESR1-mutated, advanced or metastatic breast cancer with disease progression following at least one line of endocrine therapy"
5.0,Jesduvroq,daprodustat,2/1/2023,To treat anemia caused by chronic kidney disease for adults on dialysis for at least four monthsPress Release
6.0,Lamzede,velmanase alfa-tycv,2/16/2023,To treat non-central nervous system manifestations of alpha-mannosidosis
7.0,Filspari,sparsentan,2/17/2023,To reduce proteinuria in adults with primary immunoglobulin A nephropathy at risk of rapid disease progression
8.0,Skyclarys,omaveloxolone,2/28/2023,To treat Friedrich’s ataxia
9.0,Zavzpret,zavegepant,3/9/2023,To treat migraine
10.0,Daybue,trofinetide,3/10/2023,To treat Rett syndrome
11.0,Zynyz,retifanlimab-dlwr,3/22/2023,To treat metastatic or recurrent locally advanced Merkel cell carcinoma
12.0,Rezzayo,rezafungin,3/22/2023,To treat candidemia and invasive candidiasis
13.0,Joenja,leniolisib,3/24/2023,To treat activated phosphoinositide 3-kinase delta syndrome
